i	fft	w	rw	c
0	0.279884	0.094452	0.003179	0
1	0.140103	0.044289	0.001491	0
2	0.000121	0.000028	0.000001	0
3	0.000064	0.000010	0.000000	0
4	0.000048	0.000005	0.000000	0
5	0.000041	0.000003	0.000000	0
6	0.000037	0.000002	0.000000	0
7	0.000035	0.000002	0.000000	0
8	0.000034	0.000001	0.000000	0
9	0.000033	0.000001	0.000000	0
10	0.000032	0.000001	0.000000	0
11	0.000032	0.000001	0.000000	0
12	0.000031	0.000000	0.000000	0
13	0.000031	0.000000	0.000000	0
14	0.000031	0.000000	0.000000	0
15	0.000031	0.000000	0.000000	0
16	0.000031	0.000000	0.000000	0
17	0.000030	0.000000	0.000000	0
18	0.000030	0.000000	0.000000	0
19	0.000030	0.000000	0.000000	0
20	0.000030	0.000000	0.000000	0
21	0.000030	0.000000	0.000000	0
22	0.000030	0.000000	0.000000	0
23	0.000030	0.000000	0.000000	0
24	0.000030	0.000000	0.000000	0
25	0.000030	0.000000	0.000000	0
26	0.000030	0.000000	0.000000	0
27	0.000030	0.000000	0.000000	0
28	0.000030	0.000000	0.000000	0
29	0.000030	0.000000	0.000000	0
30	0.000029	0.000000	0.000000	0
31	0.000029	0.000000	0.000000	0
32	0.000029	0.000000	0.000000	0
33	0.000029	0.000000	0.000000	0
34	0.000029	0.000000	0.000000	0
35	0.000029	0.000000	0.000000	0
36	0.000029	0.000000	0.000000	0
37	0.000029	0.000000	0.000000	0
38	0.000029	0.000000	0.000000	0
39	0.000029	0.000000	0.000000	0
40	0.000029	0.000001	0.000000	0
41	0.000028	0.000001	0.000000	0
42	0.000028	0.000001	0.000000	0
43	0.000028	0.000001	0.000000	0
44	0.000028	0.000001	0.000000	0
45	0.000028	0.000001	0.000000	0
46	0.000028	0.000001	0.000000	0
47	0.000027	0.000001	0.000000	0
48	0.000027	0.000001	0.000000	0
49	0.000027	0.000001	0.000000	0
50	0.000027	0.000000	0.000000	0
51	0.000027	0.000000	0.000000	0
52	0.000026	0.000000	0.000000	0
53	0.000026	0.000000	0.000000	0
54	0.000026	0.000000	0.000000	0
55	0.000026	0.000000	0.000000	0
56	0.000026	0.000001	0.000000	0
57	0.000026	0.000001	0.000000	0
58	0.000025	0.000002	0.000000	0
59	0.000025	0.000002	0.000000	0
60	0.000025	0.000003	0.000000	0
61	0.000026	0.000004	0.000000	0
62	0.000026	0.000004	0.000000	0
63	0.000026	0.000005	0.000000	0
64	0.000027	0.000006	0.000000	0
65	0.000028	0.000007	0.000000	0
66	0.000029	0.000008	0.000000	0
67	0.000030	0.000010	0.000000	0
68	0.000032	0.000011	0.000000	0
69	0.000034	0.000013	0.000000	0
70	0.000036	0.000014	0.000000	0
71	0.000039	0.000016	0.000001	0
72	0.000042	0.000018	0.000001	0
73	0.000045	0.000020	0.000001	0
74	0.000049	0.000022	0.000001	0
75	0.000054	0.000025	0.000001	0
76	0.000059	0.000027	0.000001	0
77	0.000065	0.000030	0.000001	0
78	0.000071	0.000034	0.000001	0
79	0.000078	0.000038	0.000001	0
80	0.000086	0.000042	0.000001	0
81	0.000095	0.000047	0.000002	0
82	0.000104	0.000052	0.000002	0
83	0.000115	0.000058	0.000002	0
84	0.000127	0.000065	0.000002	0
85	0.000140	0.000073	0.000002	0
86	0.000155	0.000081	0.000003	0
87	0.000172	0.000091	0.000003	0
88	0.000190	0.000103	0.000003	0
89	0.000211	0.000116	0.000004	0
90	0.000233	0.000132	0.000004	0
91	0.000259	0.000150	0.000005	0
92	0.000288	0.000171	0.000006	0
93	0.000320	0.000195	0.000007	0
94	0.000357	0.000224	0.000008	0
95	0.000398	0.000258	0.000009	0
96	0.000445	0.000299	0.000010	0
97	0.000498	0.000348	0.000012	0
98	0.000558	0.000406	0.000014	0
99	0.000627	0.000477	0.000016	0
100	0.000707	0.000564	0.000019	0
101	0.000798	0.000670	0.000023	0
102	0.000904	0.000802	0.000027	0
103	0.001027	0.000967	0.000033	0
104	0.001171	0.001177	0.000040	0
105	0.001339	0.001445	0.000049	0
106	0.001538	0.001793	0.000060	0
107	0.001774	0.002251	0.000076	0
108	0.002057	0.002864	0.000096	0
109	0.002396	0.003699	0.000125	0
110	0.002808	0.004863	0.000164	0
111	0.003312	0.006526	0.000220	0
112	0.003934	0.008973	0.000302	0
113	0.004710	0.012705	0.000428	0
114	0.005689	0.018656	0.000628	0
115	0.006942	0.028687	0.000966	0
116	0.008568	0.046880	0.001578	0
117	0.010713	0.083349	0.002805	0
118	0.013599	0.168031	0.005656	0
119	0.017567	0.417997	0.014069	0
120	0.023167	1.613215	0.054299	0
121	0.031316	72.071416	2.425857	1
122	0.043623	168.833252	5.682771	1
123	0.063080	178.475571	6.007323	1
124	0.095666	178.033401	5.992440	1
125	0.154508	177.929298	5.988936	1
126	0.272261	177.895334	5.987793	1
127	0.545892	177.890942	5.987645	1
128	1.355317	177.913619	5.988408	1
129	5.221786	177.992958	5.991079	1
130	228.719109	178.316261	6.001961	1
131	509.795511	175.072541	5.892780	1
132	283.801886	89.406877	3.009353	1
133	7.175341	2.215199	0.074562	0
134	1.716401	0.527551	0.017757	0
135	0.680031	0.208066	0.007003	0
136	0.340114	0.103141	0.003472	0
137	0.195238	0.058424	0.001967	0
138	0.122853	0.036147	0.001217	0
139	0.082564	0.023819	0.000802	0
140	0.058309	0.016459	0.000554	0
141	0.042805	0.011804	0.000397	0
142	0.032416	0.008724	0.000294	0
143	0.025184	0.006609	0.000222	0
144	0.019988	0.005112	0.000172	0
145	0.016154	0.004024	0.000135	0
146	0.013261	0.003216	0.000108	0
147	0.011034	0.002605	0.000088	0
148	0.009291	0.002134	0.000072	0
149	0.007906	0.001766	0.000059	0
150	0.006792	0.001473	0.000050	0
151	0.005884	0.001239	0.000042	0
152	0.005137	0.001047	0.000035	0
153	0.004517	0.000889	0.000030	0
154	0.003998	0.000758	0.000026	0
155	0.003561	0.000646	0.000022	0
156	0.003190	0.000550	0.000019	0
157	0.002874	0.000466	0.000016	0
158	0.002603	0.000392	0.000013	0
159	0.002372	0.000324	0.000011	0
160	0.002173	0.000262	0.000009	0
161	0.002004	0.000205	0.000007	0
162	0.001860	0.000151	0.000005	0
163	0.001738	0.000104	0.000004	0
164	0.001638	0.000074	0.000003	0
165	0.001557	0.000083	0.000003	0
166	0.001495	0.000124	0.000004	0
167	0.001452	0.000178	0.000006	0
168	0.001426	0.000240	0.000008	0
169	0.001419	0.000309	0.000010	0
170	0.001431	0.000385	0.000013	0
171	0.001461	0.000470	0.000016	0
172	0.001512	0.000567	0.000019	0
173	0.001583	0.000679	0.000023	0
174	0.001676	0.000810	0.000027	0
175	0.001792	0.000967	0.000033	0
176	0.001935	0.001156	0.000039	0
177	0.002108	0.001389	0.000047	0
178	0.002313	0.001680	0.000057	0
179	0.002557	0.002047	0.000069	0
180	0.002847	0.002519	0.000085	0
181	0.003190	0.003135	0.000106	0
182	0.003600	0.003953	0.000133	0
183	0.004090	0.005062	0.000170	0
184	0.004680	0.006599	0.000222	0
185	0.005396	0.008788	0.000296	0
186	0.006273	0.012004	0.000404	0
187	0.007357	0.016912	0.000569	0
188	0.008714	0.024761	0.000833	0
189	0.010434	0.038086	0.001282	0
190	0.012647	0.062568	0.002106	0
191	0.015545	0.112787	0.003796	0
192	0.019417	0.234351	0.007888	0
193	0.024708	0.624466	0.021019	0
194	0.032140	2.969759	0.099959	0
195	0.042921	41.705710	1.403776	0
196	0.059188	71.181829	2.395915	1
197	0.084955	70.973683	2.388909	1
198	0.128373	70.698092	2.379633	1
199	0.207758	70.622646	2.377093	1
200	0.370266	70.600700	2.376354	1
201	0.763867	70.606859	2.376562	1
202	2.028843	70.646611	2.377900	1
203	9.602596	70.771339	2.382098	1
204	133.034708	71.320717	2.400590	1
205	199.386255	64.352943	2.166061	1
206	72.667321	22.774098	0.766555	0
207	4.504541	1.389868	0.046782	0
208	1.281106	0.394463	0.013277	0
209	0.539612	0.165561	0.005573	0
210	0.277284	0.084436	0.002842	0
211	0.161035	0.048486	0.001632	0
212	0.101666	0.030176	0.001016	0
213	0.068208	0.019912	0.000670	0
214	0.047930	0.013739	0.000462	0
215	0.034932	0.009820	0.000331	0
216	0.026222	0.007223	0.000243	0
217	0.020169	0.005441	0.000183	0
218	0.015834	0.004182	0.000141	0
219	0.012649	0.003271	0.000110	0
220	0.010258	0.002596	0.000087	0
221	0.008428	0.002088	0.000070	0
222	0.007005	0.001699	0.000057	0
223	0.005882	0.001397	0.000047	0
224	0.004984	0.001160	0.000039	0
225	0.004258	0.000971	0.000033	0
226	0.003664	0.000819	0.000028	0
227	0.003175	0.000695	0.000023	0
228	0.002767	0.000594	0.000020	0
229	0.002425	0.000511	0.000017	0
230	0.002137	0.000442	0.000015	0
231	0.001891	0.000384	0.000013	0
232	0.001682	0.000335	0.000011	0
233	0.001501	0.000294	0.000010	0
234	0.001345	0.000258	0.000009	0
235	0.001209	0.000228	0.000008	0
236	0.001091	0.000202	0.000007	0
237	0.000987	0.000180	0.000006	0
238	0.000896	0.000161	0.000005	0
239	0.000815	0.000144	0.000005	0
240	0.000744	0.000129	0.000004	0
241	0.000680	0.000116	0.000004	0
242	0.000624	0.000105	0.000004	0
243	0.000573	0.000095	0.000003	0
244	0.000527	0.000086	0.000003	0
245	0.000487	0.000078	0.000003	0
246	0.000450	0.000071	0.000002	0
247	0.000416	0.000065	0.000002	0
248	0.000386	0.000059	0.000002	0
249	0.000359	0.000054	0.000002	0
250	0.000334	0.000050	0.000002	0
251	0.000311	0.000046	0.000002	0
252	0.000290	0.000042	0.000001	0
253	0.000271	0.000039	0.000001	0
254	0.000254	0.000036	0.000001	0
255	0.000238	0.000033	0.000001	0
256	0.000223	0.000031	0.000001	0
